номер_опоры;крепление_к;разводка;тип_воздуховода;диаметр/ширина;выстота;расстояние_от_стены_до_оси_воздуховода;насквозь
ОВ-2.11-4;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;600;;;
ОВ-2.11-5;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;630;;;
ОВ-2.11-6;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;710;;;
ОВ-2.11-7;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;800;;;
ОВ-2.11-8;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;900;;;
ОВ-2.11-9;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;1000;;;
ОВ-2.11-10;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;1120;;;
ОВ-2.11-11;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;1250;;;
ОВ-2.12-1;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;450;;;
ОВ-2.12-2;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;500;;;
ОВ-2.12-3;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;560;;;
ОВ-2.12-4;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;600;;;
ОВ-2.12-5;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;630;;;
ОВ-2.12-6;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;710;;;
ОВ-2.12-7;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;800;;;
ОВ-2.12-8;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;900;;;
ОВ-2.12-9;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;1000;;;
ОВ-2.12-10;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;1120;;;
ОВ-2.12-11;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;1250;;;
ОВ-2.17-1;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;100;;;
ОВ-2.17-2;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;125;;;
ОВ-2.17-3;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;140;;;
ОВ-2.17-4;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;150;;;
ОВ-2.17-5;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;160;;;
ОВ-2.17-6;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;180;;;
ОВ-2.17-7;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;200;;;
ОВ-2.17-8;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;225;;;
ОВ-2.17-9;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;250;;;
ОВ-2.17-10;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;280;;;
ОВ-2.17-11;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;300;;;
ОВ-2.17-12;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;315;;;
ОВ-2.17-13;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;355;;;
ОВ-2.17-14;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;400;;;
ОВ-2.19-1;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;450;;;
ОВ-2.19-2;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;500;;;
ОВ-2.19-3;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;560;;;
ОВ-2.19-4;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;600;;;
ОВ-2.19-5;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;630;;;
ОВ-2.19-6;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;710;;;
ОВ-2.19-7;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;800;;;
ОВ-2.19-8;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;900;;;
ОВ-2.19-9;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;1000;;;
ОВ-2.19-10;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;1120;;;
ОВ-2.19-11;Металлоконструкции (двутавр);Горизонтальная/потолок;Круглый;1250;;;
ОВ-2.21-1;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Прямоугольный;200;;;
ОВ-2.21-2;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Прямоугольный;400;;;
ОВ-2.21-3;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Прямоугольный;600;;;
ОВ-2.21-4;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Прямоугольный;800;;;
ОВ-2.21-5;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Прямоугольный;1000;;;
ОВ-2.21-6;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Прямоугольный;1200;;;
ОВ-2.21-7;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Прямоугольный;1400;;;
ОВ-2.21-8;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Прямоугольный;1600;;;
ОВ-2.21-9;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Прямоугольный;1800;;;
ОВ-2.21-10;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Прямоугольный;2000;;;
ОВ-2.22-1;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Прямоугольный;200;;;
ОВ-2.22-2;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Прямоугольный;400;;;
ОВ-2.22-3;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Прямоугольный;600;;;
ОВ-2.22-4;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Прямоугольный;800;;;
ОВ-2.22-5;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Прямоугольный;1000;;;
ОВ-2.22-6;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Прямоугольный;1200;;;
ОВ-2.22-7;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Прямоугольный;1400;;;
ОВ-2.22-8;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Прямоугольный;1600;;;
ОВ-2.22-9;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Прямоугольный;1800;;;
ОВ-2.22-10;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Прямоугольный;2000;;;
ОВ-2.39-1;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Прямоугольный;200;;;
ОВ-2.39-2;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Прямоугольный;400;;;
ОВ-2.39-3;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Прямоугольный;600;;;
