номер_опоры;материал_основания;горизонтальный/вертикальный;крепление_к;условный диаметр трубы;вылет;max вертик.нагрузка;исполнение;диапазон_диаметров;тип_опоры;кол-во_труб
H6.0.1-44.23(2);Кирпич;Горизонтальный;Стена;250;400;3.1;23;260-274;Рядовая опора;1
H6.0.1-45.15(1);Кирпич;Вертикальный;Стена;100;250;3;15;108-116;Рядовая опора;1
H6.0.1-45.16(1);Кирпич;Вертикальный;Стена;110;250;3;16;120-130;Рядовая опора;1
H6.0.1-45.17(1);Кирпич;Вертикальный;Стена;125;250;3;17;135-143;Рядовая опора;1
H6.0.1-45.18(1);Кирпич;Вертикальный;Стена;140;250;3;18;145-155;Рядовая опора;1
H6.0.1-45.19(1);Кирпич;Вертикальный;Стена;150;250;3;19;162-170;Рядовая опора;1
H6.0.1-45.20(1);Кирпич;Вертикальный;Стена;175;250;3;20;195-205;Рядовая опора;1
H6.0.1-45.21(1);Кирпич;Вертикальный;Стена;200;250;3;21;207-219;Рядовая опора;1
H6.0.1-45.22(1);Кирпич;Вертикальный;Стена;225;250;3;22;248-255;Рядовая опора;1
H6.0.1-45.23(1);Кирпич;Вертикальный;Стена;250;250;3;23;260-274;Рядовая опора;1
H6.0.1-45.15(2);Кирпич;Вертикальный;Стена;100;400;3;15;108-116;Рядовая опора;1
H6.0.1-45.16(2);Кирпич;Вертикальный;Стена;110;400;3;16;120-130;Рядовая опора;1
H6.0.1-45.17(2);Кирпич;Вертикальный;Стена;125;400;3;17;135-143;Рядовая опора;1
H6.0.1-45.18(2);Кирпич;Вертикальный;Стена;140;400;3;18;145-155;Рядовая опора;1
H6.0.1-45.19(2);Кирпич;Вертикальный;Стена;150;400;3;19;162-170;Рядовая опора;1
H6.0.1-45.20(2);Кирпич;Вертикальный;Стена;175;400;3;20;195-205;Рядовая опора;1
H6.0.1-45.21(2);Кирпич;Вертикальный;Стена;200;400;3;21;207-219;Рядовая опора;1
H6.0.1-45.22(2);Кирпич;Вертикальный;Стена;225;400;3;22;248-255;Рядовая опора;1
H6.0.1-45.23(2);Кирпич;Вертикальный;Стена;250;400;3;23;260-274;Рядовая опора;1
H6.0.1-46.1;Профлист;Горизонтальный;Потолок;8;6000;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-46.2;Профлист;Горизонтальный;Потолок;10;6000;0.6;2;16-19;Рядовая опора;1
H6.0.1-46.3;Профлист;Горизонтальный;Потолок;15;6000;0.6;3;20-24;Рядовая опора;1
H6.0.1-46.4;Профлист;Горизонтальный;Потолок;20;6000;0.6;4;25-28;Рядовая опора;1
H6.0.1-46.5;Профлист;Горизонтальный;Потолок;25;6000;0.6;5;32-35;Рядовая опора;1
H6.0.1-46.6;Профлист;Горизонтальный;Потолок;32;6000;0.6;6;39-46;Рядовая опора;1
H6.0.1-46.7;Профлист;Горизонтальный;Потолок;40;6000;0.6;7;48-53;Рядовая опора;1
H6.0.1-46.8;Профлист;Горизонтальный;Потолок;50;6000;0.6;8;53-58;Рядовая опора;1
H6.0.1-46.9;Профлист;Горизонтальный;Потолок;50;6000;0.6;9;60-65;Рядовая опора;1
H6.0.1-46.10;Профлист;Горизонтальный;Потолок;60;6000;0.6;10;67-71;Рядовая опора;1
H6.0.1-46.11;Профлист;Горизонтальный;Потолок;65;6000;0.6;11;74-80;Рядовая опора;1
H6.0.1-46.12;Профлист;Горизонтальный;Потолок;70;6000;0.6;12;81-86;Рядовая опора;1
H6.0.1-46.13;Профлист;Горизонтальный;Потолок;80;6000;0.6;13;88-94;Рядовая опора;1
H6.0.1-46.14;Профлист;Горизонтальный;Потолок;90;6000;0.6;14;99-105;Рядовая опора;1
H6.0.1-46.15;Профлист;Горизонтальный;Потолок;100;6000;0.6;15;108-116;Рядовая опора;1
H6.0.1-46.16;Профлист;Горизонтальный;Потолок;110;6000;0.6;16;120-130;Рядовая опора;1
H6.0.1-46.17;Профлист;Горизонтальный;Потолок;125;6000;0.6;17;135-143;Рядовая опора;1
H6.0.1-46.18;Профлист;Горизонтальный;Потолок;140;6000;0.6;18;145-155;Рядовая опора;1
H6.0.1-46.19;Профлист;Горизонтальный;Потолок;150;6000;0.6;19;162-170;Рядовая опора;1
H6.0.1-46.20;Профлист;Горизонтальный;Потолок;175;6000;0.6;20;195-205;Рядовая опора;1
H6.0.1-46.21;Профлист;Горизонтальный;Потолок;200;6000;0.6;21;207-219;Рядовая опора;1
H6.0.1-46.22;Профлист;Горизонтальный;Потолок;225;6000;0.6;22;248-255;Рядовая опора;1
H6.0.1-46.23;Профлист;Горизонтальный;Потолок;250;6000;0.6;23;260-274;Рядовая опора;1
H6.0.1-47.1;Профлист;Горизонтальный;Потолок;8;6000;0.6;1;ноя.15;Подвижная опора;1
H6.0.1-47.2;Профлист;Горизонтальный;Потолок;10;6000;0.6;2;16-19;Подвижная опора;1
H6.0.1-47.3;Профлист;Горизонтальный;Потолок;15;6000;0.6;3;20-24;Подвижная опора;1
H6.0.1-47.4;Профлист;Горизонтальный;Потолок;20;6000;0.6;4;25-28;Подвижная опора;1
H6.0.1-47.5;Профлист;Горизонтальный;Потолок;25;6000;0.6;5;32-35;Подвижная опора;1
H6.0.1-47.6;Профлист;Горизонтальный;Потолок;32;6000;0.6;6;39-46;Подвижная опора;1
H6.0.1-47.7;Профлист;Горизонтальный;Потолок;40;6000;0.6;7;48-53;Подвижная опора;1
H6.0.1-47.8;Профлист;Горизонтальный;Потолок;50;6000;0.6;8;53-58;Подвижная опора;1
H6.0.1-47.9;Профлист;Горизонтальный;Потолок;50;6000;0.6;9;60-65;Подвижная опора;1
H6.0.1-47.10;Профлист;Горизонтальный;Потолок;60;6000;0.6;10;67-71;Подвижная опора;1
H6.0.1-47.11;Профлист;Горизонтальный;Потолок;65;6000;0.6;11;74-80;Подвижная опора;1
H6.0.1-47.12;Профлист;Горизонтальный;Потолок;70;6000;0.6;12;81-86;Подвижная опора;1
H6.0.1-47.13;Профлист;Горизонтальный;Потолок;80;6000;0.6;13;88-94;Подвижная опора;1
H6.0.1-47.14;Профлист;Горизонтальный;Потолок;90;6000;0.6;14;99-105;Подвижная опора;1
H6.0.1-47.15;Профлист;Горизонтальный;Потолок;100;6000;0.6;15;108-116;Подвижная опора;1
H6.0.1-47.16;Профлист;Горизонтальный;Потолок;110;6000;0.6;16;120-130;Подвижная опора;1
H6.0.1-47.17;Профлист;Горизонтальный;Потолок;125;6000;0.6;17;135-143;Подвижная опора;1
H6.0.1-47.18;Профлист;Горизонтальный;Потолок;140;6000;0.6;18;145-155;Подвижная опора;1
H6.0.1-47.19;Профлист;Горизонтальный;Потолок;150;6000;0.6;19;162-170;Подвижная опора;1
H6.0.1-47.20;Профлист;Горизонтальный;Потолок;175;6000;0.6;20;195-205;Подвижная опора;1
H6.0.1-47.21;Профлист;Горизонтальный;Потолок;200;6000;0.6;21;207-219;Подвижная опора;1
H6.0.1-47.22;Профлист;Горизонтальный;Потолок;225;6000;0.6;22;248-255;Подвижная опора;1
H6.0.1-47.23;Профлист;Горизонтальный;Потолок;250;6000;0.6;23;260-274;Подвижная опора;1
H6.0.1-48.1;Профлист;Горизонтальный;Потолок;8;6000;0.6;1;ноя.15;Рядовая опора;2
H6.0.1-48.2;Профлист;Горизонтальный;Потолок;10;6000;0.6;2;16-19;Рядовая опора;2
H6.0.1-48.3;Профлист;Горизонтальный;Потолок;15;6000;0.6;3;20-24;Рядовая опора;2
H6.0.1-48.4;Профлист;Горизонтальный;Потолок;20;6000;0.6;4;25-28;Рядовая опора;2
H6.0.1-48.5;Профлист;Горизонтальный;Потолок;25;6000;0.6;5;32-35;Рядовая опора;2
H6.0.1-48.6;Профлист;Горизонтальный;Потолок;32;6000;0.6;6;39-46;Рядовая опора;2
H6.0.1-48.7;Профлист;Горизонтальный;Потолок;40;6000;0.6;7;48-53;Рядовая опора;2
H6.0.1-48.8;Профлист;Горизонтальный;Потолок;50;6000;0.6;8;53-58;Рядовая опора;2
H6.0.1-48.9;Профлист;Горизонтальный;Потолок;50;6000;0.6;9;60-65;Рядовая опора;2
H6.0.1-48.10;Профлист;Горизонтальный;Потолок;60;6000;0.6;10;67-71;Рядовая опора;2
H6.0.1-48.11;Профлист;Горизонтальный;Потолок;65;6000;0.6;11;74-80;Рядовая опора;2
H6.0.1-48.12;Профлист;Горизонтальный;Потолок;70;6000;0.6;12;81-86;Рядовая опора;2
H6.0.1-48.13;Профлист;Горизонтальный;Потолок;80;6000;0.6;13;88-94;Рядовая опора;2
H6.0.1-48.14;Профлист;Горизонтальный;Потолок;90;6000;0.6;14;99-105;Рядовая опора;2
H6.0.1-48.15;Профлист;Горизонтальный;Потолок;100;6000;0.6;15;108-116;Рядовая опора;2
H6.0.1-48.16;Профлист;Горизонтальный;Потолок;110;6000;0.6;16;120-130;Рядовая опора;2
H6.0.1-48.17;Профлист;Горизонтальный;Потолок;125;6000;0.6;17;135-143;Рядовая опора;2
H6.0.1-48.18;Профлист;Горизонтальный;Потолок;140;6000;0.6;18;145-155;Рядовая опора;2
H6.0.1-48.19;Профлист;Горизонтальный;Потолок;150;6000;0.6;19;162-170;Рядовая опора;2
H6.0.1-48.20;Профлист;Горизонтальный;Потолок;175;6000;0.6;20;195-205;Рядовая опора;2
H6.0.1-48.21;Профлист;Горизонтальный;Потолок;200;6000;0.6;21;207-219;Рядовая опора;2
H6.0.1-48.22;Профлист;Горизонтальный;Потолок;225;6000;0.6;22;248-255;Рядовая опора;2
H6.0.1-48.23;Профлист;Горизонтальный;Потолок;250;6000;0.6;23;260-274;Рядовая опора;2
H6.0.1-49.1(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;8;6000;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-49.2(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;10;6000;0.6;2;16-19;Рядовая опора;1
H6.0.1-49.3(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;15;6000;0.6;3;20-24;Рядовая опора;1
H6.0.1-49.4(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;20;6000;0.6;4;25-28;Рядовая опора;1
H6.0.1-49.5(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;25;6000;0.6;5;32-35;Рядовая опора;1
H6.0.1-49.6(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;32;6000;0.6;6;39-46;Рядовая опора;1
H6.0.1-49.7(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;40;6000;0.6;7;48-53;Рядовая опора;1
H6.0.1-49.8(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;6000;0.9;8;53-58;Рядовая опора;1
H6.0.1-49.9(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;6000;0.9;9;60-65;Рядовая опора;1
H6.0.1-49.10(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;60;6000;0.9;10;67-71;Рядовая опора;1
H6.0.1-49.11(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;65;6000;0.9;11;74-80;Рядовая опора;1
H6.0.1-49.12(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;70;6000;0.9;12;81-86;Рядовая опора;1
H6.0.1-49.13(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;80;6000;0.9;13;88-94;Рядовая опора;1
H6.0.1-49.14(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;90;6000;1;14;99-105;Рядовая опора;1
H6.0.1-49.15(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;100;6000;1;15;108-116;Рядовая опора;1
H6.0.1-49.16(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;110;6000;1.5;16;120-130;Рядовая опора;1
H6.0.1-49.17(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;125;6000;1.5;17;135-143;Рядовая опора;1
H6.0.1-49.18(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;140;6000;1.5;18;145-155;Рядовая опора;1
H6.0.1-49.19(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;150;6000;1.5;19;162-170;Рядовая опора;1
H6.0.1-49.20(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;175;6000;2;20;195-205;Рядовая опора;1
H6.0.1-49.21(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;200;6000;2;21;207-219;Рядовая опора;1
H6.0.1-49.22(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;225;6000;2;22;248-255;Рядовая опора;1
H6.0.1-49.23(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;250;6000;2;23;260-274;Рядовая опора;1
H6.0.1-49.1(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;8;6000;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-49.2(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;10;6000;0.6;2;16-19;Рядовая опора;1
H6.0.1-49.3(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;15;6000;0.6;3;20-24;Рядовая опора;1
H6.0.1-49.4(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;20;6000;0.6;4;25-28;Рядовая опора;1
H6.0.1-49.5(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;25;6000;0.6;5;32-35;Рядовая опора;1
H6.0.1-49.6(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;32;6000;0.6;6;39-46;Рядовая опора;1
H6.0.1-49.7(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;40;6000;0.6;7;48-53;Рядовая опора;1
H6.0.1-49.8(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;6000;0.9;8;53-58;Рядовая опора;1
H6.0.1-49.9(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;6000;0.9;9;60-65;Рядовая опора;1
H6.0.1-49.10(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;60;6000;0.9;10;67-71;Рядовая опора;1
H6.0.1-49.11(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;65;6000;0.9;11;74-80;Рядовая опора;1
H6.0.1-49.12(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;70;6000;0.9;12;81-86;Рядовая опора;1
H6.0.1-49.13(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;80;6000;0.9;13;88-94;Рядовая опора;1
H6.0.1-49.14(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;90;6000;1;14;99-105;Рядовая опора;1
H6.0.1-49.15(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;100;6000;1;15;108-116;Рядовая опора;1
H6.0.1-49.16(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;110;6000;1.5;16;120-130;Рядовая опора;1
H6.0.1-49.17(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;125;6000;1.5;17;135-143;Рядовая опора;1
H6.0.1-49.18(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;140;6000;1.5;18;145-155;Рядовая опора;1
H6.0.1-49.19(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;150;6000;1.5;19;162-170;Рядовая опора;1
H6.0.1-49.20(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;175;6000;2;20;195-205;Рядовая опора;1
H6.0.1-49.21(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;200;6000;2;21;207-219;Рядовая опора;1
H6.0.1-49.22(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;225;6000;2;22;248-255;Рядовая опора;1
H6.0.1-49.23(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;250;6000;2;23;260-274;Рядовая опора;1
H6.0.1-50.1(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;8;3000;0.6;1;ноя.15;Рядовая опора;2
H6.0.1-50.2(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;10;3000;0.6;2;16-19;Рядовая опора;2
H6.0.1-50.3(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;15;3000;0.6;3;20-24;Рядовая опора;2
H6.0.1-50.4(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;20;3000;0.6;4;25-28;Рядовая опора;2
H6.0.1-50.5(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;25;3000;0.6;5;32-35;Рядовая опора;2
H6.0.1-50.6(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;32;3000;0.6;6;39-46;Рядовая опора;2
H6.0.1-50.7(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;40;3000;0.6;7;48-53;Рядовая опора;2
H6.0.1-50.8(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;3000;0.9;8;53-58;Рядовая опора;2
H6.0.1-50.9(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;3000;0.9;9;60-65;Рядовая опора;2
H6.0.1-50.10(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;60;3000;0.9;10;67-71;Рядовая опора;2
H6.0.1-50.11(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;65;3000;0.9;11;74-80;Рядовая опора;2
H6.0.1-50.12(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;70;3000;0.9;12;81-86;Рядовая опора;2
H6.0.1-50.13(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;80;3000;0.9;13;88-94;Рядовая опора;2
H6.0.1-50.14(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;90;3000;1;14;99-105;Рядовая опора;2
H6.0.1-50.15(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;100;3000;1;15;108-116;Рядовая опора;2
H6.0.1-50.16(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;110;3000;1.5;16;120-130;Рядовая опора;2
H6.0.1-50.17(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;125;3000;1.5;17;135-143;Рядовая опора;2
H6.0.1-50.18(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;140;3000;1.5;18;145-155;Рядовая опора;2
H6.0.1-50.19(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;150;3000;1.5;19;162-170;Рядовая опора;2
H6.0.1-50.20(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;175;3000;2;20;195-205;Рядовая опора;2
H6.0.1-50.21(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;200;3000;2;21;207-219;Рядовая опора;2
H6.0.1-50.22(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;225;3000;2;22;248-255;Рядовая опора;2
H6.0.1-50.23(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;250;3000;2;23;260-274;Рядовая опора;2
H6.0.1-50.1(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;8;3000;0.6;1;ноя.15;Рядовая опора;2
H6.0.1-50.2(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;10;3000;0.6;2;16-19;Рядовая опора;2
H6.0.1-50.3(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;15;3000;0.6;3;20-24;Рядовая опора;2
H6.0.1-50.4(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;20;3000;0.6;4;25-28;Рядовая опора;2
H6.0.1-50.5(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;25;3000;0.6;5;32-35;Рядовая опора;2
H6.0.1-50.6(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;32;3000;0.6;6;39-46;Рядовая опора;2
H6.0.1-50.7(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;40;3000;0.6;7;48-53;Рядовая опора;2
H6.0.1-50.8(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;3000;0.9;8;53-58;Рядовая опора;2
H6.0.1-50.9(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;3000;0.9;9;60-65;Рядовая опора;2
H6.0.1-50.10(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;60;3000;0.9;10;67-71;Рядовая опора;2
H6.0.1-50.11(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;65;3000;0.9;11;74-80;Рядовая опора;2
H6.0.1-50.12(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;70;3000;0.9;12;81-86;Рядовая опора;2
H6.0.1-50.13(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;80;3000;0.9;13;88-94;Рядовая опора;2
H6.0.1-50.14(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;90;3000;1;14;99-105;Рядовая опора;2
H6.0.1-50.15(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;100;3000;1;15;108-116;Рядовая опора;2
H6.0.1-50.16(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;110;3000;1.5;16;120-130;Рядовая опора;2
H6.0.1-50.17(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;125;3000;1.5;17;135-143;Рядовая опора;2
H6.0.1-50.18(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;140;3000;1.5;18;145-155;Рядовая опора;2
H6.0.1-50.19(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;150;3000;1.5;19;162-170;Рядовая опора;2
H6.0.1-50.20(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;175;3000;2;20;195-205;Рядовая опора;2
H6.0.1-50.21(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;200;3000;2;21;207-219;Рядовая опора;2
H6.0.1-50.22(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;225;3000;2;22;248-255;Рядовая опора;2
H6.0.1-50.23(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;250;3000;2;23;260-274;Рядовая опора;2
H6.0.1-51.1(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;8;3000;0.6;1;ноя.15;Рядовая опора;3
H6.0.1-51.2(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;10;3000;0.6;2;16-19;Рядовая опора;3
H6.0.1-51.3(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;15;3000;0.6;3;20-24;Рядовая опора;3
H6.0.1-51.4(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;20;3000;0.6;4;25-28;Рядовая опора;3
H6.0.1-51.5(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;25;3000;0.6;5;32-35;Рядовая опора;3
H6.0.1-51.6(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;32;3000;0.6;6;39-46;Рядовая опора;3
H6.0.1-51.7(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;40;3000;0.6;7;48-53;Рядовая опора;3
H6.0.1-51.8(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;3000;0.9;8;53-58;Рядовая опора;3
H6.0.1-51.9(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;3000;0.9;9;60-65;Рядовая опора;3
H6.0.1-51.10(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;60;3000;0.9;10;67-71;Рядовая опора;3
H6.0.1-51.11(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;65;3000;0.9;11;74-80;Рядовая опора;3
H6.0.1-51.12(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;70;3000;0.9;12;81-86;Рядовая опора;3
H6.0.1-51.13(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;80;3000;0.9;13;88-94;Рядовая опора;3
H6.0.1-51.14(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;90;3000;1;14;99-105;Рядовая опора;3
H6.0.1-51.15(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;100;3000;1;15;108-116;Рядовая опора;3
H6.0.1-51.16(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;110;3000;1.3;16;120-130;Рядовая опора;3
H6.0.1-51.17(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;125;3000;1.3;17;135-143;Рядовая опора;3
H6.0.1-51.18(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;140;3000;1.3;18;145-155;Рядовая опора;3
H6.0.1-51.19(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;150;3000;1.3;19;162-170;Рядовая опора;3
H6.0.1-51.20(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;175;3000;1.3;20;195-205;Рядовая опора;3
H6.0.1-51.21(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;200;3000;1.3;21;207-219;Рядовая опора;3
H6.0.1-51.22(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;225;3000;1.3;22;248-255;Рядовая опора;3
H6.0.1-51.23(1);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;250;3000;1.3;23;260-274;Рядовая опора;3
H6.0.1-51.1(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;8;3000;0.6;1;ноя.15;Рядовая опора;3
H6.0.1-51.2(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;10;3000;0.6;2;16-19;Рядовая опора;3
H6.0.1-51.3(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;15;3000;0.6;3;20-24;Рядовая опора;3
H6.0.1-51.4(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;20;3000;0.6;4;25-28;Рядовая опора;3
H6.0.1-51.5(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;25;3000;0.6;5;32-35;Рядовая опора;3
H6.0.1-51.6(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;32;3000;0.6;6;39-46;Рядовая опора;3
H6.0.1-51.7(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;40;3000;0.6;7;48-53;Рядовая опора;3
H6.0.1-51.8(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;3000;0.9;8;53-58;Рядовая опора;3
H6.0.1-51.9(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;50;3000;0.9;9;60-65;Рядовая опора;3
H6.0.1-51.10(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;60;3000;0.9;10;67-71;Рядовая опора;3
H6.0.1-51.11(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;65;3000;0.9;11;74-80;Рядовая опора;3
H6.0.1-51.12(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;70;3000;0.9;12;81-86;Рядовая опора;3
H6.0.1-51.13(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;80;3000;0.9;13;88-94;Рядовая опора;3
H6.0.1-51.14(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;90;3000;1;14;99-105;Рядовая опора;3
H6.0.1-51.15(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;100;3000;1;15;108-116;Рядовая опора;3
H6.0.1-51.16(2);Пустотная плита/Железобетон по профлисту;Горизонтальный;Потолок;110;3000;1.3;16;120-130;Рядовая опора;3
