номер_опоры;Сечение воздуховода;Ширина/диаметр воздуховода;Нагрузка;Шаг опор;Максимальная высота опоры
Н7.2.1-13.2;Круглый;160;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.2;Круглый;180;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.2;Круглый;200;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.3;Круглый;224;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.3;Круглый;250;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.3;Круглый;280;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.3;Круглый;300;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.4;Круглый;315;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.4;Круглый;355;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.4;Круглый;400;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-14.1;Круглый;450;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-14.2;Круглый;500;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-14.3;Круглый;560;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-14.4;Круглый;600;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-14.5;Круглый;630;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-14.6;Круглый;710;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-14.7;Круглый;800;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-14.8;Круглый;900;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-14.9;Круглый;1000;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-14.10;Круглый;1120;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-14.11;Круглый;1250;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;2.5;750
